parent_station,stop_lon,stop_lat,stop_id,stop_name,location_type
,-3.9587098,5.3698807,node/6815808845,Pharmacie du bonheur,0
,-3.9725319,5.383206,node/6815808846,Groupe Scolaire St Marc,0
,-3.9692172,5.282599,node/6819328985,Camp Commando de Koumassi,0
,-3.9707407,5.2892136,node/6819329085,Grand carrefour de Koumassi,0
,-3.9741109,5.2921087,node/6819329086,Hôtel Ibis Marcory,0
,-3.973691,5.2916293,node/6819329185,Hôtel Ibis Marcory,0
,-3.9897184,5.3008419,node/6819329285,Chimtec Grand carrefour Marcory,0
,-3.9767155,5.335819,node/6820855646,Ambassade des USA,0
,-3.9728877,5.3309825,node/6820855647,Hotel du Golf,0
,-3.9730064,5.3310297,node/6820855648,Hotel du Golf,0
,-3.9579229,5.3312498,node/6820855649,Ex Terminus Sotra;Carrefour Sol Beni,0
,-4.021605,5.332764,node/6831076677,Cathédrale Saint paul,0
,-4.0205671,5.3299678,node/6831076678,Église Méthodiste Unie de Côte d'Ivoire,0
,-4.0185085,5.3148704,node/6831076682,Gare Sud,0
,-3.9867521,5.2988832,node/6832290086,Cap Sud,0
,-4.0022393,5.2996481,node/6899034705,Gare de bassam,0
,-3.9997862,5.3004143,node/6899034706,Gendarmerie,0
,-4.0037983,5.303315,node/6899034707,Notre-dame,0
,-4.005186,5.3072484,node/6899034708,Pharmacie Nanan Yamousso,0
,-4.0061407,5.3099574,node/6899034709,Après le pont,0
,-4.0160603,5.3534116,node/6899034710,Adjamé liberté,0
,-4.014858,5.3534437,node/6899053345,Adjamé liberté,0
,-4.0120307,5.3535364,node/6899053346,Gare de Bingerville,0
,-4.0152949,5.325075,node/6899053347,Feux du plateau,0
,-4.0061218,5.3101491,node/6899053348,Nanan Yamousso,0
,-4.0024275,5.2996797,node/6899053349,Gare de bassam,0
,-4.0174383,5.4200067,node/6899241573,Abobo Gare Mairie,0
,-4.0159818,5.4143755,node/6899241574,Mobil,0
,-4.0215029,5.3846161,node/6899241575,Lavage,0
,-4.0257575,5.37725,node/6899241576,Macaci,0
,-4.0164004,5.3543459,node/6899241577,Adjamé Liberté,0
,-4.0212174,5.349107,node/6899264970,Marché Gouro,0
,-4.0163905,5.3547097,node/6899264971,Adjamé Liberté,0
,-4.016791,5.358734,node/6899264972,Station Total,0
,-4.0171184,5.4215493,node/6899264973,Abobo Gare Mairie,0
,-4.0153363,5.4195759,node/6902638988,Carrefour Marché,0
,-4.0135168,5.4186048,node/6902638989,Petro Ivoire,0
,-4.0101975,5.4168519,node/6902638990,Au Bar,0
,-4.0080786,5.4157998,node/6902638991,Petit Carrefour,0
,-4.0066972,5.4152517,node/6902638992,Samaké,0
,-4.0064894,5.3994804,node/6902638993,Azur,0
,-4.0070352,5.3780522,node/6902638994,Panneau ZOO,0
,-4.0157753,5.4197843,node/6902638995,Abobo Gare Mairie,0
,-4.0117095,5.4176548,node/6902638996,Ciné Cool,0
,-4.0062697,5.4144283,node/6902638997,Boulangerie Samake,0
,-4.0062877,5.410863,node/6902638998,Menuiserie,0
,-4.0063067,5.4101067,node/6902638999,Tchapatcha,0
,-4.0063409,5.4092677,node/6902639000,Chaine Avion,0
,-4.0063993,5.4051188,node/6902639001,Pharmacie Dokui,0
,-4.0064176,5.4036347,node/6902639002,SODECI,0
,-4.0064567,5.4020967,node/6902639003,Étage Noir,0
,-4.0064867,5.4001879,node/6902639004,Mobil,0
,-4.006353,5.3968179,node/6902639005,Arrêt Dokui,0
,-4.005793,5.3929293,node/6902639006,Ancien Feu,0
,-4.005732,5.3872276,node/6902639007,Bangui,0
,-4.0060126,5.3851864,node/6902639008,Vidange,0
,-4.0063262,5.382931,node/6902639009,HMA,0
,-4.0118134,5.3721147,node/6902639010,Carrefour paillet,0
,-4.0157876,5.3653117,node/6902639011,Carrefour 2 Plateaux,0
,-4.0160705,5.3553627,node/6902639012,Gare des gbakas d’Abobo par le zoo,0
,-4.0136214,5.4184847,node/6902868224,Petro Ivoire,0
,-4.0120067,5.4176463,node/6902868225,Ciné Cool,0
,-4.0102981,5.4167077,node/6902868226,Au Bar,0
,-4.0065403,5.4051935,node/6902868227,Pharmacie Dokui,0
,-4.0065873,5.4036701,node/6902868228,SODECI,0
,-4.0066315,5.40212,node/6902868229,Étage Noir,0
,-4.0066597,5.4002027,node/6902868230,Mobil,0
,-4.0066034,5.3994577,node/6902868231,Azur,0
,-4.0064518,5.3965911,node/6902868232,Arrêt Dokui,0
,-4.0059301,5.3928327,node/6902868233,Ancien Feu,0
,-4.005859,5.387253,node/6902868234,Bangui,0
,-4.0061326,5.3852715,node/6902868235,Vidange,0
,-4.0064505,5.3829176,node/6902868236,HMA,0
,-4.0122239,5.3716859,node/6902868237,Carrefour paillet,0
,-4.0159576,5.365405,node/6902868238,Carrefour 2 Plateaux,0
,-4.0168128,5.3633371,node/6902868239,Willy Agban,0
,-4.0152077,5.3668297,node/6902868240,Cimetière,0
,-4.0094557,5.3765337,node/6902868241,CIE,0
,-4.0070149,5.3789939,node/6902868242,ZOO,0
,-4.0056173,5.3900553,node/6902868243,Eglise,0
,-4.0099567,5.41329,node/6902868244,Pharmacie Racines,0
,-4.0160257,5.4197639,node/6902868245,Abobo Gare Mairie,0
,-4.0135154,5.4500232,node/6902975747,Christine Bar,0
,-4.0109926,5.4607326,node/6902975748,Terminus Akéikoi village,0
,-4.0107733,5.45899,node/6902975749,A l'école,0
,-4.0112928,5.455207,node/6902975750,Destin,0
,-4.0119566,5.4542173,node/6902975751,Monnaie,0
,-4.0128592,5.4528753,node/6902975752,André Bar,0
,-4.0133357,5.4510493,node/6902975753,Carrefour marché,0
,-4.0143571,5.446249,node/6902975754,A l'étage,0
,-4.0141843,5.4394513,node/6902975755,Boulangerie,0
,-4.0140378,5.4384053,node/6902975756,Carrefour Akéikoi,0
,-4.0161726,5.4225885,node/6902975757,Gare Gbaka Akeïkoi,0
,-4.0134484,5.4510779,node/6903084141,Carrefour marché,0
,-4.0129173,5.4530404,node/6903084142,André Bar,0
,-4.0120751,5.4542793,node/6903084143,Monnaie,0
,-4.0142825,5.438503,node/6903097494,Au goudron,0
,-4.0160694,5.4227551,node/6903097495,Gare Abobo,0
,-4.013945,5.4230451,node/6903097496,Au tournant,0
,-4.0146817,5.4278782,node/6903097497,Au Feu,0
,-4.0124107,5.433455,node/6903097498,Célibataire,0
,-4.0124925,5.4352003,node/6903097499,JAUG,0
,-4.0135883,5.4383233,node/6903097500,Cité,0
,-4.0138345,5.449017,node/6903097501,Boulangerie,0
,-4.0136722,5.4500084,node/6903097502,Christine Bar,0
,-4.01134,5.4552984,node/6903097503,Destin,0
,-4.0109968,5.4594779,node/6903097504,A l'ecole,0
,-4.0111868,5.460775,node/6903097505,Terminus Akéikoi Village,0
,-4.0144891,5.4429021,node/6903193216,Mosquée,0
,-4.0144891,5.4463091,node/6903193217,A l'étage,0
,-4.0165181,5.42194,node/6903268819,Abobo Gare Mairie,0
,-4.0163197,5.4223082,node/6903268820,Gare Abobo Kennedy-Marché/ Mosquée Ado,0
,-4.0100057,5.4211585,node/6903268821,Station,0
,-4.0015221,5.4236887,node/6903268822,Kennedy Marché,0
,-4.011717,5.4221255,node/6903296476,Mosquée,0
,-4.0060106,5.4186623,node/6903296477,Carrefour Kennedy,0
,-4.0059221,5.4186129,node/6903296478,Carrefour Kennedy,0
,-4.0039185,5.4213432,node/6903296479,Makan Traoré,0
,-4.0015453,5.4236156,node/6903296480,Au marché,0
,-4.0021714,5.423623,node/6903296481,A Gauche,0
,-4.0037249,5.4214359,node/6903296482,Makan Traoré,0
,-3.9324706,5.3286546,node/6903347574,Cocody Riviera M'badon,0
,-3.9332267,5.3293417,node/6903347575,Nouveau marché,0
,-3.9339946,5.329969,node/6903347576,Ancien marché,0
,-3.9350317,5.3307517,node/6903347577,Centre de santé Municipal de M'Badon,0
,-3.9352626,5.331008,node/6903347578,La ferme,0
,-3.9393933,5.3353839,node/6903347579,Pharmacie,0
,-3.9427407,5.3384154,node/6903347580,2 poteaux,0
,-3.945032,5.339948,node/6903347581,Antenne,0
,-3.9457017,5.345935,node/6903347582,Carrefour Akouédo,0
,-3.9471733,5.3461517,node/6903347583,École,0
,-3.9505483,5.3458217,node/6903347584,2ème rond-point,0
,-4.0227501,5.3503568,node/6903370485,Gare en haut,0
,-4.0100339,5.4210882,node/6903374200,Station,0
,-4.00729,5.4196516,node/6903374201,Immeuble Cercueil,0
,-4.0074563,5.4195595,node/6903374202,Immeuble Cercueil,0
,-3.9978515,5.4234508,node/6903397403,Terminus mosquée Ado Kenedy,0
,-3.9978489,5.4215774,node/6903397404,A l'école,0
,-3.9979409,5.4198617,node/6903397405,[Arret sans nom],0
,-3.9980283,5.4185867,node/6903397406,Dahico,0
,-3.9992242,5.4157689,node/6903397407,Étage Noir,0
,-4.0059533,5.415578,node/6903406997,Samake,0
,-4.0037419,5.4156671,node/6903406998,Eglise,0
,-4.0037763,5.415458,node/6903504058,Eglise,0
,-4.0007226,5.4155835,node/6903504059,Monastère,0
,-4.0008192,5.415434,node/6903504060,Monastère,0
,-3.999403,5.4157731,node/6903504061,Étage Noir,0
,-3.9981732,5.4185995,node/6903504062,Dahico,0
,-4.0272132,5.4339087,node/6903525051,Hôtel du centre,0
,-4.0337387,5.437375,node/6903525052,A la Pompe,0
,-4.0360617,5.4377181,node/6903525053,Dépôt,0
,-4.0444772,5.4390697,node/6903525054,Anokoi,0
,-4.0444823,5.439303,node/6903525055,Anokoi,0
,-4.0479148,5.4422211,node/6903525056,Marahoué,0
,-4.0487972,5.4439581,node/6903525057,Agripac,0
,-4.0509604,5.447775,node/6903525058,Terminus,0
,-4.0508555,5.4479797,node/6903525059,Terminus,0
,-4.0489498,5.4446545,node/6903525060,Agripac,0
,-4.0477433,5.4425017,node/6903525061,Marahoué,0
,-4.0360937,5.4379717,node/6903525062,Dépôt,0
,-4.033852,5.4376377,node/6903525063,A la Pompe,0
,-4.030245,5.4367133,node/6903525064,Marché de Nuit,0
,-4.026894,5.4340417,node/6903525065,Hôtel du centre,0
,-4.018191,5.4217034,node/6903525066,Abobo Gare,0
,-4.0206447,5.3489387,node/6903535584,Complexe,0
,-4.0224464,5.350348,node/6903544086,Gare en haut,0
,-4.0180948,5.3481387,node/6903544087,Maternité,0
,-4.014163,5.3521055,node/6903544088,Adjamé Liberté,0
,-4.0029137,5.3547793,node/6903544089,2ème pont,0
,-3.9339759,5.3301187,node/6903544090,Marché,0
,-4.0203577,5.4263231,node/6903602207,Gendarmerie,0
,-4.0233336,5.4298704,node/6903602208,Mosquée Blanche,0
,-4.0262471,5.4332219,node/6903602209,Solibra,0
,-4.0288774,5.4359152,node/6903602210,Château,0
,-4.0383071,5.4383388,node/6903602211,A l'escalier,0
,-4.0521369,5.4497913,node/6903602212,PK 18 ancien marché,0
,-4.0184916,5.4220421,node/6903602213,Gare abobo,0
,-4.0204342,5.4260466,node/6903602214,Gendarmerie,0
,-4.0208376,5.426524,node/6903602215,Gendarmerie Avant le Feu,0
,-4.0236152,5.4297276,node/6903602216,Mosquée Blanche,0
,-4.0264367,5.4330817,node/6903602217,Solibra,0
,-4.0290698,5.4357519,node/6903602218,Château,0
,-4.0306363,5.4365893,node/6903602219,Marché de Nuit,0
,-4.0384581,5.4380495,node/6903602220,A l'escalier,0
,-4.0411411,5.4382834,node/6903602221,Nouvelle Gare,0
,-4.0493193,5.4448006,node/6903602222,Agripac Avant le Feu,0
,-4.0520966,5.4493883,node/6903602223,Station Total,0
,-4.052542,5.4499639,node/6903602224,PK 18 ancien marché,0
,-3.9761316,5.370557,node/6903639366,Attoban camp,0
,-3.9776678,5.3694267,node/6903639367,Escalier,0
,-3.9794185,5.3673899,node/6903639368,Pharmacie Saint Bernard,0
,-3.9793174,5.3658448,node/6903639369,Carrefour Garage,0
,-3.9792552,5.365069,node/6903639370,Polyclinique Sacré-Coeur,0
,-3.9790994,5.3642087,node/6903639371,Jules ferry,0
,-3.9788028,5.362115,node/6903639372,Hôtel Manhatan,0
,-3.978316,5.3589924,node/6903639373,Doraville,0
,-3.9780678,5.3571667,node/6903639374,Pharmacie Saint ange,0
,-3.9777617,5.356275,node/6903639375,André Malraux,0
,-4.0228251,5.3505392,node/6903639376,Gare en haut,0
,-3.9796695,5.3672689,node/6903968407,Pharmacie Saint Bernard,0
,-3.9794498,5.3655779,node/6903968408,Carrefour garage,0
,-4.0345833,5.343795,node/6904171063,Attécoubé Terminus 04,0
,-4.0345467,5.346448,node/6904171064,[Arret sans nom],0
,-4.033957,5.3490624,node/6904171065,Marché,0
,-4.032333,5.3501257,node/6904171066,Station Afriquia,0
,-4.0328135,5.3524283,node/6904171067,Carrefour Attecoubé,0
,-4.0309717,5.3574167,node/6904171068,[Arret sans nom],0
,-4.0254169,5.3513557,node/6904171070,Arrêt,0
,-4.0261722,5.3412757,node/6904171071,Adjamé Santé,0
,-4.025807,5.3381159,node/6904171072,Institut National de la Santé Publique,0
,-4.0230192,5.3318344,node/6904171073,Arrêts tours Administratives,0
,-4.0206008,5.3266073,node/6904171074,Cité financière Plateau,0
,-4.0196512,5.3237991,node/6904171075,SIB Alpha 2000,0
,-4.0196681,5.3206169,node/6904171076,Primature,0
