route_id,stop_point_id,stop_point_index
r10406545,n7054787059,8
r10406545,n7054787058,9
r10406545,n7054787057,10
r10406545,n7054787056,11
r10406545,n7054787055,12
r10406545,n7054787054,13
r10406545,n7054787053,14
r10406545,n7054787052,15
r10406545,n7054787051,16
r10406545,n7054787050,17
r10406545,n7054917914,18
r10406545,n7054917913,19
r10406545,n7054917912,20
r10406545,n7054917911,21
r10406545,n7054917910,22
r10406546,n7054917926,1
r10406546,n7054917925,2
r10406546,n7054917924,3
r10406546,n7054917923,4
r10406546,n7054917922,5
r10406546,n7054787074,6
r10406546,n7054787073,7
r10406546,n7052366503,8
r10406546,n7052366502,9
r10406546,n7052366501,10
r10406619,n7054999108,1
r10406619,n7054999106,2
r10406619,n7054999105,3
r10406619,n7054999104,4
r10406619,n7054999103,5
r10406620,n7054999100,1
r10406620,n7052340403,2
r10406620,n6903544088,3
r10406863,n7054787080,1
r10406863,n7055147056,2
r10406863,n7054787079,3
r10406863,n7054787078,4
r10406863,n7055147055,5
r10406863,n7054787077,6
r10406863,n7054917924,7
r10406863,n7054787076,8
r10406863,n7054917923,9
r10406863,n7054917922,10
r10406863,n7054787075,11
r10406863,n7054787074,12
r10406863,n7054787073,13
r10406863,n7055147054,14
r10406863,n7052366501,15
r10406864,n7052366501,1
r10406864,n7055147061,2
r10406864,n7054917919,3
r10406864,n7054787065,4
r10406864,n7055147060,5
r10406864,n7054917918,6
r10406864,n7054917917,7
r10406864,n7054917916,8
r10406864,n7055147059,9
r10406864,n7054787049,10
r10406864,n7054787060,11
r10406864,n7055147058,12
r10406864,n7054917915,13
r10406864,n7054787059,14
r10406864,n7054787057,15
r10406864,n7054787056,16
r10406864,n7054787055,17
r10406864,n7054787054,18
r10406864,n7054787053,19
r10406864,n7054787052,20
r10406864,n7054787051,21
r10406864,n7055147057,22
r10407727,n7055596720,1
r10407727,n7055596719,2
r10407727,n7055596718,3
r10407727,n7055596717,4
r10407727,n7055596716,5
r10407727,n7055596715,6
r10407727,n7055596714,7
r10407727,n7055596713,8
r10407727,n7055596712,9
r10407727,n7055596711,10
r10407727,n7055596710,11
r10407727,n7055596709,12
r10407727,n7055596707,13
r10407728,n7055596706,1
r10407728,n7055596705,2
r10407728,n7055596704,3
r10407728,n7052366506,4
r10407728,n7052366505,5
r10407728,n7055596703,6
r10407728,n7052366503,7
r10407728,n7055596701,8
r10407728,n7052366501,9
r10407728,n7052366500,10
r10407848,n7055717196,1
r10407848,n7078451681,2
r10407848,n7055717195,3
r10407848,n7082468471,4
r10407848,n7055717194,5
r10407848,n7085152208,6
r10407848,n7082468468,7
r10407848,n7085152207,8
r10407848,n7082468467,9
r10407848,n7055717193,10
r10407848,n7085152206,11
r10407848,n9229594147,12
r10407848,n7082468466,13
r10407848,n7055717192,14
r10407848,n7082468464,15
r10407848,n7082468463,16
r10407848,n7055717191,17
r10407848,n7076873476,18
r10407848,n7076873475,19
r10407848,n7055717190,20
r10407848,n7055717189,21
r10407848,n7055717188,22
r10407848,n7057928786,23
r10407848,n7055717187,24
r10407848,n7076873474,25
r10407848,n7055147054,26
r10407848,n9229594145,27
r10407848,n7052366503,28
r10407848,n7055596701,29
r10407848,n7052366501,30
r10407848,n7055147061,31
r10407849,n7055147061,1
r10407849,n7055717185,2
r10407849,n9229594150,3
r10407849,n9229594149,4
r10407849,n7055696184,5
r10407849,n9229594148,6
r10407849,n7055696183,7
r10407849,n7078451671,8
r10407849,n7084943053,9
r10407849,n7078451670,10
r10407849,n7084943052,11
r10407849,n7084943051,12
r10407849,n7055696182,13
r10407849,n7055696181,14
r10407849,n7055696180,15
r10407849,n7055696179,16
r10407849,n7902959149,17
r10407849,n7055696178,18
r10407849,n7085152209,19
r10407849,n7055696177,20
r10407849,n6909707224,21
r10407849,n7055696176,22
r10408667,n7056202797,1
r10408667,n7056202795,2
r10408667,n7056202794,3
r10408667,n7056202793,4
r10408667,n7056202792,5
r10408667,n6903968407,6
r10408667,n6903968408,7
r10408667,n7056202791,8
r10408667,n7056202790,9
r10408667,n7056202789,10
r10408668,n7056202800,1
r10408668,n7643846396,2
