route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
r10647596,Mo-Su,r10647595_Mo-Su,Vridi Canal,0,r10647595
r10647596,Mo-Su,r10647594_Mo-Su,Marché de Port-Bouët,1,r10647594
r10647737,Mo-Su,r10647736_Mo-Su,Marché de Port-Bouët,0,r10647736
r10647737,Mo-Su,r10647735_Mo-Su,Anani,1,r10647735
r10651885,Mo-Su,r10651884_Mo-Su,BC,0,r10651884
r10651885,Mo-Su,r10651883_Mo-Su,Abobo Gare,1,r10651883
r10651976,Mo-Su,r10651975_Mo-Su,Ndotre,0,r10651975
r10651976,Mo-Su,r10651974_Mo-Su,Abobo Gendarmerie,1,r10651974
r10653426,Mo-Su,r10653425_Mo-Su,Biabou,0,r10653425
r10653426,Mo-Su,r10653424_Mo-Su,Abobo Gare,1,r10653424
r10653562,Mo-Su,r10653561_Mo-Su,Houphouet-Boigny,0,r10653561
r10653562,Mo-Su,r10653560_Mo-Su,Abobo Gare,1,r10653560
r10653808,Mo-Su,r10653807_Mo-Su,Angre Petro Ivoire,0,r10653807
r10653808,Mo-Su,r10653806_Mo-Su,Abobo Gare,1,r10653806
r10653984,Mo-Su,r10653983_Mo-Su,Mahou/Azur,0,r10653983
r10653984,Mo-Su,r10653982_Mo-Su,palmeraie,1,r10653982
r10669276,Mo-Su,r10669275_Mo-Su,Terminus 81-82,0,r10669275
r10669276,Mo-Su,r10669274_Mo-Su,Palmeraie,1,r10669274
r10670070,Mo-Su,r10670069_Mo-Su,Port de Pêche,0,r10670069
r10670070,Mo-Su,r10670068_Mo-Su,Marché de Port-Bouët,1,r10670068
r10670151,Mo-Su,r10670149_Mo-Su,Carrefour Aéroport,0,r10670149
r10670151,Mo-Su,r10670150_Mo-Su,Aéroport,1,r10670150
r10672696,Mo-Su,r10672695_Mo-Su,Terminus 05,0,r10672695
r10672696,Mo-Su,r10672694_Mo-Su,Koumassi grand marché,1,r10672694
r10676982,Mo-Su,r10676980_Mo-Su,Koumassi grand marché,0,r10676980
r10676982,Mo-Su,r10676981_Mo-Su,Ancien Koumassi,1,r10676981
r10677072,Mo-Su,r10677070_Mo-Su,Anoumabo sans fil,0,r10677070
r10677072,Mo-Su,r10677071_Mo-Su,Koumassi grand marché,1,r10677071
r10677135,Mo-Su,r10677133_Mo-Su,Koumassi grand marché,0,r10677133
r10677135,Mo-Su,r10677134_Mo-Su,Koumassi campement,1,r10677134
r10677516,Mo-Su,r10677515_Mo-Su,Soweto,0,r10677515
r10677516,Mo-Su,r10677514_Mo-Su,Koumassi grand marché,1,r10677514
r10677691,Mo-Su,r10677689_Mo-Su,Anoumabo sans fil,0,r10677689
r10677691,Mo-Su,r10677690_Mo-Su,Koumassi Hôpital général,1,r10677690
r11527162,Mo-Su,r11527161_Mo-Su,Soweto,0,r11527161
r11527162,Mo-Su,r11527160_Mo-Su,Gare communale,1,r11527160
r11527427,Mo-Su,r11527426_Mo-Su,Sicogi,0,r11527426
r11527427,Mo-Su,r11527425_Mo-Su,Gare communale,1,r11527425
r11529097,Mo-Su,r11529095_Mo-Su,Terminus 32,0,r11529095
r11529097,Mo-Su,r11529096_Mo-Su,Sicogi,1,r11529096
r11529225,Mo-Su,r11529224_Mo-Su,Sicogi,0,r11529224
r11529225,Mo-Su,r11529223_Mo-Su,Anoumabo sans fil,1,r11529223
r11529405,Mo-Su,r11529404_Mo-Su,Soweto,0,r11529404
