trip_id,start_time,end_time,headway_secs
r10480572_Mo-Su,05:00:00,22:00:00,3600
r10480571_Mo-Su,05:00:00,22:00:00,3600
r10521452_Mo-Su,05:00:00,22:00:00,2700
r10521451_Mo-Su,05:00:00,22:00:00,2700
r10628610_Mo-Su,05:00:00,22:00:00,300
r10628611_Mo-Su,05:00:00,22:00:00,300
r10628717_Mo-Su,05:00:00,22:00:00,300
r10628716_Mo-Su,05:00:00,22:00:00,300
r10628855_Mo-Su,05:00:00,22:00:00,300
r10628856_Mo-Su,05:00:00,22:00:00,300
r10647546_Mo-Su,05:00:00,22:00:00,300
r10647545_Mo-Su,05:00:00,22:00:00,300
r10647595_Mo-Su,05:00:00,22:00:00,300
r10647594_Mo-Su,05:00:00,22:00:00,300
r10647736_Mo-Su,05:00:00,22:00:00,300
r10647735_Mo-Su,05:00:00,22:00:00,300
r10651884_Mo-Su,05:00:00,22:00:00,300
r10651883_Mo-Su,05:00:00,22:00:00,300
r10651975_Mo-Su,05:00:00,22:00:00,3600
r10651974_Mo-Su,05:00:00,22:00:00,3600
r10653425_Mo-Su,05:00:00,22:00:00,300
r10653424_Mo-Su,05:00:00,22:00:00,300
r10653561_Mo-Su,05:00:00,22:00:00,300
r10653560_Mo-Su,05:00:00,22:00:00,300
r10653807_Mo-Su,05:00:00,22:00:00,300
r10653806_Mo-Su,05:00:00,22:00:00,300
r10653983_Mo-Su,05:00:00,22:00:00,3600
r10653982_Mo-Su,05:00:00,22:00:00,3600
r10669275_Mo-Su,05:00:00,22:00:00,3600
r10669274_Mo-Su,05:00:00,22:00:00,3600
r10670069_Mo-Su,05:00:00,22:00:00,300
r10670068_Mo-Su,05:00:00,22:00:00,300
r10670149_Mo-Su,05:00:00,22:00:00,300
r10670150_Mo-Su,05:00:00,22:00:00,300
r10672695_Mo-Su,05:00:00,22:00:00,300
r10672694_Mo-Su,05:00:00,22:00:00,300
r10676980_Mo-Su,05:00:00,22:00:00,300
r10676981_Mo-Su,05:00:00,22:00:00,300
r10677070_Mo-Su,05:00:00,22:00:00,300
r10677071_Mo-Su,05:00:00,22:00:00,300
r10677133_Mo-Su,05:00:00,22:00:00,300
r10677134_Mo-Su,05:00:00,22:00:00,300
r10677515_Mo-Su,05:00:00,22:00:00,300
r10677514_Mo-Su,05:00:00,22:00:00,300
r10677689_Mo-Su,05:00:00,22:00:00,300
r10677690_Mo-Su,05:00:00,22:00:00,300
r11527161_Mo-Su,05:00:00,22:00:00,300
r11527160_Mo-Su,05:00:00,22:00:00,300
r11527426_Mo-Su,05:00:00,22:00:00,300
r11527425_Mo-Su,05:00:00,22:00:00,300
r11529095_Mo-Su,05:00:00,22:00:00,300
r11529096_Mo-Su,05:00:00,22:00:00,300
r11529224_Mo-Su,05:00:00,22:00:00,3600
r11529223_Mo-Su,05:00:00,22:00:00,3600
r11529404_Mo-Su,05:00:00,22:00:00,3600
r11529403_Mo-Su,05:00:00,22:00:00,3600
r11529698_Mo-Su,05:00:00,22:00:00,300
r11529697_Mo-Su,05:00:00,22:00:00,300
r11531744_Mo-Su,05:00:00,22:00:00,300
r11531743_Mo-Su,05:00:00,22:00:00,300
